Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,45.68,46.209998999999996,45.544998,46.040001000000004,44.615615999999996,721000
2015-05-05,45.939999,46.215,45.505001,45.529999,44.121399,873600
2015-05-06,45.615002000000004,45.755001,45.099998,45.325001,43.922740999999995,580800
2015-05-07,45.185001,45.700001,45.025002,45.474998,44.068096000000004,814400
2015-05-08,45.955002,46.404999,45.785,46.240002000000004,44.809433,857200
2015-05-11,46.080002,46.91,46.080002,46.459998999999996,45.022621,1796000
2015-05-12,45.924999,46.384997999999996,45.790001000000004,46.125,44.697987,908400
2015-05-13,45.955002,46.435001,45.955002,46.125,44.697987,691800
2015-05-14,46.465,47.235001000000004,46.424999,47.169998,45.710659,717800
2015-05-15,47.34,47.605,47.18,47.525002,46.054676,1028200
2015-05-18,47.549999,47.715,47.360001000000004,47.544998,46.074059000000005,713400
2015-05-19,47.645,47.895,47.525002,47.68,46.204879999999996,616000
2015-05-20,47.689999,47.735001000000004,47.435001,47.555,46.083744,561000
2015-05-21,47.505001,47.695,47.084998999999996,47.41,45.943233,701000
2015-05-22,47.360001000000004,47.485001000000004,47.09,47.25,45.788185,615200
2015-05-26,47.299999,47.505001,47.080002,47.110001000000004,45.652519,771800
2015-05-27,47.25,47.27,46.884997999999996,46.974998,45.52169,946800
2015-05-28,47.044998,47.564999,46.945,47.424999,45.957775,786000
2015-05-29,47.380001,47.549999,47.115002000000004,47.134997999999996,45.676743,1221600
2015-06-01,47.134997999999996,47.285,46.560001,46.814999,45.518741999999996,1321000
2015-06-02,46.814999,47.419998,46.634997999999996,47.174999,45.868771,1429800
2015-06-03,47.279999,48.384997999999996,47.205002,48.375,47.035545,1472800
2015-06-04,48.365002000000004,49.73,48.365002000000004,49.23,47.866879,1954200
2015-06-05,49.235001000000004,49.314999,48.365002000000004,48.619999,47.273762,1748000
2015-06-08,48.549999,49.07,48.005001,48.715,47.366131,1031000
2015-06-09,48.735001000000004,48.965,48.48,48.580002,47.234871000000005,1245400
2015-06-10,48.93,49.275002,48.790001000000004,49.220001,47.857151,1200200
2015-06-11,49.424999,49.514998999999996,49.075001,49.134997999999996,47.774502000000005,944600
2015-06-12,49.049999,49.305,48.834998999999996,49.084998999999996,47.72588,730600
2015-06-15,48.830002,49.075001,48.375,48.580002,47.234871000000005,844200
2015-06-16,48.634997999999996,49.560001,48.595001,49.52,48.148838,768600
2015-06-17,49.700001,50.025002,49.465,49.985001000000004,48.600967,1046800
2015-06-18,50.080002,51.02,50.080002,50.799999,49.393402,1207800
2015-06-19,50.615002000000004,50.77,50.400002,50.455002,49.057953000000005,1726400
2015-06-22,50.639998999999996,51.205002,50.474998,50.720001,49.315616999999996,675200
2015-06-23,50.93,50.93,50.474998,50.639998999999996,49.237823,907200
2015-06-24,50.709998999999996,50.755001,50.040001000000004,50.119999,48.732227,697800
2015-06-25,50.105,50.259997999999996,49.855,50.040001000000004,48.654446,718400
2015-06-26,50.264998999999996,50.48,50.009997999999996,50.465,49.067673,2706200
2015-06-29,50.224998,50.529999,49.855,49.895,48.513451,1323600
2015-06-30,50.25,50.48,50.0,50.09,48.70306,1261800
2015-07-01,50.560001,50.895,50.419998,50.790001000000004,49.383678,1068200
2015-07-02,51.040001000000004,51.044998,50.084998999999996,50.345001,48.951004,1090600
2015-07-06,49.935001,50.275002,49.855,49.990002000000004,48.605827000000005,3107400
2015-07-07,50.174999,51.110001000000004,49.75,51.025002,49.612167,1323800
2015-07-08,50.755001,51.075001,50.294998,50.375,48.980167,1131600
2015-07-09,51.0,51.200001,50.669998,50.68,49.276718,923200
